kernel,n,threads,chunk,reps,mean_s,std_s,metric,unit
sumred,262144,16,65536,400,2.095970e-05,1.714244e-06,25.0141,GFLOP/s
sumred,262144,16,262144,400,2.051603e-05,1.705610e-06,25.5550,GFLOP/s
sumred,262144,28,0,400,3.092805e-05,1.423434e-06,16.9519,GFLOP/s
sumred,262144,28,4096,400,3.012934e-05,2.884234e-06,17.4012,GFLOP/s
sumred,262144,28,16384,400,2.936242e-05,5.369246e-06,17.8558,GFLOP/s
sumred,262144,28,65536,400,3.075111e-05,1.492418e-06,17.0494,GFLOP/s
sumred,262144,28,262144,400,2.954535e-05,2.568492e-06,17.7452,GFLOP/s
sumred,1048576,16,0,400,3.977634e-05,4.384131e-06,52.7236,GFLOP/s
sumred,1048576,16,4096,400,4.983822e-05,3.823513e-06,42.0792,GFLOP/s
sumred,1048576,16,16384,400,3.464153e-05,2.743028e-06,60.5387,GFLOP/s
sumred,1048576,16,65536,400,3.684339e-05,4.328322e-06,56.9207,GFLOP/s
sumred,1048576,16,262144,400,3.834103e-05,4.106215e-06,54.6973,GFLOP/s
sumred,1048576,28,0,400,4.120260e-05,2.712874e-06,50.8985,GFLOP/s
sumred,1048576,28,4096,400,5.247162e-05,2.599503e-06,39.9674,GFLOP/s
sumred,1048576,28,16384,400,4.026853e-05,3.182126e-06,52.0792,GFLOP/s
sumred,1048576,28,65536,400,4.230988e-05,3.163442e-06,49.5665,GFLOP/s
sumred,1048576,28,262144,400,4.187252e-05,2.851172e-06,50.0842,GFLOP/s
sumred,4194304,16,0,400,1.613339e-04,1.555092e-05,51.9953,GFLOP/s
sumred,4194304,16,4096,400,1.700586e-04,5.515211e-06,49.3277,GFLOP/s
sumred,4194304,16,16384,400,1.178560e-04,4.500444e-06,71.1768,GFLOP/s
sumred,4194304,16,65536,400,1.101998e-04,5.781927e-06,76.1218,GFLOP/s
sumred,4194304,16,262144,400,1.639039e-04,7.205660e-06,51.1800,GFLOP/s
sumred,4194304,28,0,400,1.187779e-04,8.758376e-06,70.6243,GFLOP/s
sumred,4194304,28,4096,400,1.729108e-04,5.216436e-05,48.5141,GFLOP/s
sumred,4194304,28,16384,400,1.141807e-04,1.033365e-05,73.4678,GFLOP/s
sumred,4194304,28,65536,400,1.073537e-04,4.237420e-06,78.1399,GFLOP/s
sumred,4194304,28,262144,400,1.214223e-04,4.026589e-05,69.0862,GFLOP/s
sumred,16777216,16,0,151,1.987650e-03,6.858595e-05,16.8815,GFLOP/s
sumred,16777216,16,4096,149,2.016197e-03,8.811599e-05,16.6424,GFLOP/s
sumred,16777216,16,16384,167,1.803790e-03,6.390602e-05,18.6022,GFLOP/s
sumred,16777216,16,65536,174,1.729596e-03,8.365381e-05,19.4002,GFLOP/s
sumred,16777216,16,262144,164,1.829759e-03,5.137304e-05,18.3382,GFLOP/s
sumred,16777216,28,0,153,1.968969e-03,7.166951e-05,17.0416,GFLOP/s
sumred,16777216,28,4096,145,2.075233e-03,1.084439e-04,16.1690,GFLOP/s
sumred,16777216,28,16384,164,1.839514e-03,6.822345e-05,18.2409,GFLOP/s
sumred,16777216,28,65536,166,1.811629e-03,7.411358e-05,18.5217,GFLOP/s
sumred,16777216,28,262144,160,1.883358e-03,6.172567e-05,17.8163,GFLOP/s
sumred,67108864,16,0,35,8.598478e-03,3.036241e-04,15.6095,GFLOP/s
sumred,67108864,16,4096,35,8.807413e-03,1.175194e-04,15.2392,GFLOP/s
sumred,67108864,16,16384,39,7.773871e-03,7.623550e-05,17.2652,GFLOP/s
sumred,67108864,16,65536,40,7.584792e-03,5.903390e-05,17.6956,GFLOP/s
sumred,67108864,16,262144,40,7.614701e-03,8.616038e-05,17.6261,GFLOP/s
